Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-12 00:00:00-05:00,103.20868656852795,104.1877847485389,102.90100612778934,103.9659652709961,18990000,0.0,0.0
2021-02-16 00:00:00-05:00,103.80318697811768,106.45267031039077,103.80318697811768,104.74358367919922,31004000,0.0,0.0
2021-02-17 00:00:00-05:00,103.91385613661629,105.32618913024353,103.63447293017356,105.1366195678711,20294000,0.0,0.0
2021-02-18 00:00:00-05:00,104.46073764281587,105.30386984623844,103.88160957310559,104.50093078613281,22546000,0.0,0.0
2021-02-19 00:00:00-05:00,104.59917603105531,105.13462765654127,103.39030764472844,103.65728759765625,37938000,0.0,0.0
2021-02-22 00:00:00-05:00,101.9099993387489,103.23647893744953,101.63210028023519,101.9427490234375,29466000,0.0,0.0
2021-02-23 00:00:00-05:00,99.94434439439259,102.84790471803919,98.7652498236748,102.2335433959961,34658000,0.0,0.0
2021-02-24 00:00:00-05:00,100.74081884482054,103.63296773706675,100.61626404849291,103.4091567993164,22608000,0.0,0.0
2021-02-25 00:00:00-05:00,102.0256127941476,103.36896303196635,99.57215061949934,100.0416030883789,41548000,0.0,0.0
2021-02-26 00:00:00-05:00,100.7363652714973,102.05490166561077,99.30021775417421,100.3373794555664,40042000,0.0,0.0
2021-03-01 00:00:00-05:00,101.63210667965502,103.03302091003201,100.95819763423486,102.70698547363281,26060000,0.0,0.0
2021-03-02 00:00:00-05:00,102.46777579992727,103.9515673872358,102.06234608378273,102.44991302490234,25564000,0.0,0.0
2021-03-03 00:00:00-05:00,101.82811444002907,103.02109639925452,98.95233642673433,99.81631469726562,33892000,0.0,0.0
2021-03-04 00:00:00-05:00,99.98801216184687,102.95161985010066,99.51955162533255,100.93386840820312,49216000,0.0,0.0
2021-03-05 00:00:00-05:00,102.28466284780541,104.52026594581169,100.62867233193391,104.06719207763672,53100000,0.0,0.0
2021-03-08 00:00:00-05:00,103.42158052102567,104.89444552557276,99.50764868129858,99.62228393554688,36868000,0.0,0.0
2021-03-09 00:00:00-05:00,101.71893700927107,102.4221200060807,101.01673839596404,101.2529525756836,33920000,0.0,0.0
