Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-12 00:00:00-05:00,130.85629728454018,132.00560480490336,130.2134567077312,131.84976196289062,60145100,0.0,0.0
2021-02-16 00:00:00-05:00,131.96667922879305,132.4731462786685,129.33687901923372,129.7264862060547,80576300,0.0,0.0
2021-02-17 00:00:00-05:00,127.83691038959827,128.781687221056,126.10319957479774,127.43756866455078,97918500,0.0,0.0
2021-02-18 00:00:00-05:00,125.84019743521674,126.61939669496834,124.09675228153843,126.33694458007812,96856700,0.0,0.0
2021-02-19 00:00:00-05:00,126.85320926611831,127.31098844832445,125.45065303655015,126.4928207397461,87668800,0.0,0.0
2021-02-22 00:00:00-05:00,124.68115232492676,126.34669108531578,122.33382715227125,122.72342681884766,103916400,0.0,0.0
2021-02-23 00:00:00-05:00,120.54169271715817,123.4149766498793,115.31133387912055,122.58708190917969,158273000,0.0,0.0
2021-02-24 00:00:00-05:00,121.69100535268275,122.29487783267318,119.05147832650884,122.09033966064453,111039900,0.0,0.0
2021-02-25 00:00:00-05:00,121.43776543888308,123.17147632846172,117.40542445743719,117.84371948242188,148199500,0.0,0.0
2021-02-26 00:00:00-05:00,119.40210545733144,121.60333738053185,118.04825229910983,118.10669708251953,164560400,0.0,0.0
2021-03-01 00:00:00-05:00,120.53194563410155,124.60324720609326,119.59691082635653,124.46688842773438,116307900,0.0,0.0
2021-03-02 00:00:00-05:00,125.07080293618576,125.37273925310699,121.7592157646373,121.8663558959961,102260900,0.0,0.0
2021-03-03 00:00:00-05:00,121.56438254510716,122.44098002866822,118.6716145648539,118.88589477539062,112966300,0.0,0.0
2021-03-04 00:00:00-05:00,118.583971529586,120.38586201324064,115.53536779088374,117.00609588623047,178155000,0.0,0.0
2021-03-05 00:00:00-05:00,117.83398211644732,118.7690169305712,114.5126538027712,118.26253509521484,153766600,0.0,0.0
2021-03-08 00:00:00-05:00,117.78528895665244,117.85346835184752,113.1880285063647,113.3341293334961,154376600,0.0,0.0
2021-03-09 00:00:00-05:00,115.93468039958287,118.88588550494669,115.70092356585985,117.94110870361328,129525800,0.0,0.0
2021-03-10 00:00:00-05:00,118.52551679323263,118.99303047984385,116.34376148572666,116.8599853515625,111943300,0.0,0.0
2021-03-11 00:00:00-05:00,119.35342480023796,120.00600008566362,118.1067115889779,118.78850555419922,103026500,0.0,0.0
2021-03-12 00:00:00-05:00,117.26906067587845,118.01903394756955,116.06130832636462,117.88267517089844,88105100,0.0,0.0
2021-03-15 00:00:00-04:00,118.25281346511821,120.77545858975141,117.28855243734995,120.76571655273438,92403800,0.0,0.0
2021-03-16 00:00:00-04:00,122.43122794234345,123.91170522216095,121.47671654048351,122.30461120605469,115227900,0.0,0.0
2021-03-17 00:00:00-04:00,120.82416526324258,122.58709503966791,119.15862613615897,121.51570129394531,111932600,0.0,0.0
2021-03-18 00:00:00-04:00,119.68456358302885,119.97676520351848,117.1911374972353,117.39567565917969,121229700,0.0,0.0
2021-03-19 00:00:00-04:00,116.78207967633583,118.27229182875169,116.5677994448256,116.86973571777344,185549500,0.0,0.0
2021-03-22 00:00:00-04:00,117.20088850037816,120.64883370339138,117.13270910784668,120.18131256103516,111912300,0.0,0.0
2021-03-23 00:00:00-04:00,120.12288150317761,121.0092136525593,118.96382433837393,119.35342407226562,95467100,0.0,0.0
2021-03-24 00:00:00-04:00,119.62613612617307,119.70405755554833,116.94764829711929,116.96712493896484,88530500,0.0,0.0
2021-03-25 00:00:00-04:00,116.43144110431777,118.49631456122934,115.90548256064227,117.45413208007812,98844700,0.0,0.0
2021-03-26 00:00:00-04:00,117.22035432205121,118.32097396831911,115.82754049090362,118.05799102783203,94071200,0.0,0.0
